feature,group,importance,importance_std,corr_with_distance,corr_pvalue,mean,std,min,max,early_mean,preboom_mean,boom_mean,postboom_mean
d1_skew_y2,d1_skewness,0.0002999999999999892,3.3466401061356686e-05,0.03988159919052322,1.6450800672811718e-48,9.016846702223232e-05,0.08362422142188682,-2.7422876358032227,2.7453702688217163,8.859520727241523e-05,-0.0030018511811892184,-0.01758837895985279,0.005122849943116307
d1_skew_th1,d1_skewness,7.999999999996898e-05,1.2649110640686168e-05,-0.03173972156472861,2.3858474934703957e-31,1.5417341475597573e-05,0.06731116300126298,-2.762388825416565,2.723037838935852,3.3421476898445726e-05,0.0016944880290991726,0.0005499615644415219,0.0011283301110896794
d1_skew_th2,d1_skewness,7.599999999996498e-05,1.4966629547110733e-05,-0.006346301737750699,0.01990311936546111,3.744878764438603e-05,0.1399365615947391,-2.8234673738479614,2.817768692970276,0.0005748153814674853,0.001207505133662683,-0.0017734469225009282,0.0021636279332968925
d1_skew_w1,d1_skewness,8.000000000008e-06,9.797958971142512e-06,-0.00801568563407641,0.0032756897770673263,-8.35391552448677e-06,0.08799641952613939,-2.7271754443645477,2.4966411739587784,-0.00011753187374965272,-0.0007665349176774425,-0.0017930936430477435,0.00028694523663984404
d1_skew_w2,d1_skewness,2.4000000000024002e-05,8.000000000008e-06,-0.0036729050542821666,0.17784736727994846,1.5223985366804139e-05,0.08593396495841717,-3.3670747578144073,2.1592688634991646,0.0001302818923984801,-0.0005214134088471636,-0.0008048035049190124,0.0007194225888492334
d1_kurt_x1,d1_kurtosis,0.0,0.0,-0.018302043219183047,1.8847768834621705e-11,-0.000219901247485564,0.2143129252650128,-11.58780288696289,7.796820759773254,0.0015427125391913963,-0.01713145409690009,0.03450845082600911,-0.0018199197981092654
d1_kurt_y1,d1_kurtosis,-1.6000000000016e-05,8.000000000008e-06,-0.03143186235319492,8.92736189471387e-31,-0.0001770838034622268,0.18894886838481262,-9.790313720703125,5.360491752624512,0.0010180931470167329,-0.020731747733222117,0.01745756599638197,-0.004631125450134277
d1_kurt_x2,d1_kurtosis,1.6000000000016e-05,8.000000000008e-06,-0.03412130266400344,5.725624759093566e-36,0.00022793844280448986,0.1275524930023917,-6.396627187728882,4.395235061645508,0.0011639777205087827,-0.0023576525317298047,0.010166556305355496,0.001787069453133478
d1_kurt_y2,d1_kurtosis,0.0,0.0,-0.040003163342872544,8.52371840391165e-49,0.00026347183181705554,0.12629894017457827,-5.616575598716736,4.493505239486694,0.0005710556654054037,-0.013671729273266263,0.009179729885525173,0.005878058777915108
d1_kurt_th1,d1_kurtosis,0.00018799999999996597,9.797958971142512e-06,-0.061470396426422484,8.202013492175007e-113,0.0005510529997239268,0.11998200133592513,-6.498838424682617,4.204828858375549,0.0009898324140807985,-0.020264443026648628,-0.02060715489917331,-0.013367071522606744
d1_kurt_th2,d1_kurtosis,-1.6000000000016e-05,8.000000000008e-06,-0.03749188589255289,4.511693296139237e-43,0.0013574839144968617,0.16908379228358467,-14.708106994628906,11.157180786132812,0.0030792375629498004,-0.0036195593410068097,-0.005683357185787625,0.003093861977259319
d1_kurt_w1,d1_kurtosis,-2.0000000000020002e-05,0.0,-0.008801719226468366,0.0012423251092562925,0.00018838895445914076,0.15896619111670457,-7.941444158554077,9.61723256111145,0.0006597685801911119,-0.013344755490620929,0.02022739251454671,0.0009087256855434842
