formula,scale,threshold,mae,mae_std,coverage,coverage_std,within_5,within_5_std,n_accepted,n_simulations
sqrt,8.0,0.6,4.135810113519092,1.186707351149724,0.18888888888888888,0.022222222222222227,0.7867905056759547,0.04482789680930919,17,90
sqrt,8.0,0.65,3.2393939393939397,0.503732623991964,0.11851851851851852,0.006415002990995843,0.7818181818181819,0.04810456929208348,11,90
sqrt,8.0,0.7,3.033333333333333,0.8962886439832501,0.04814814814814814,0.006415002990995839,0.85,0.1322875655532295,4,90
sqrt,10.0,0.45,7.463380790144627,1.9025172698591857,0.4962962962962963,0.03571722504071466,0.6740597008190248,0.05040408585856052,45,90
sqrt,10.0,0.5,7.31951566951567,1.8377189556997853,0.40740740740740744,0.023129622216290367,0.6922466422466423,0.05478007383955845,37,90
sqrt,10.0,0.55,4.913068651778329,1.298153378950515,0.32222222222222224,0.029397236789606575,0.760987041632203,0.04067598378376255,29,90
sqrt,10.0,0.6,4.898098633392752,1.155453691922236,0.22222222222222224,0.02939723678960656,0.767167473049826,0.041180756482097514,20,90
sqrt,10.0,0.65,3.16965811965812,0.777367577563217,0.14814814814814814,0.016972502573910517,0.782051282051282,0.10013140610136739,13,90
sqrt,10.0,0.7,2.888888888888889,0.787635937708768,0.05185185185185185,0.012830005981991683,0.8611111111111112,0.1272937693043289,5,90
sqrt,12.0,0.45,8.834525854745229,0.8165252051616304,0.5259259259259258,0.016972502573910506,0.6414852712592901,0.03095738485146159,47,90
sqrt,12.0,0.5,7.0277115553110425,1.3439564973942184,0.4481481481481482,0.023129622216290367,0.6948366852089572,0.024448665976924765,40,90
sqrt,12.0,0.55,6.526143790849673,0.6439567153042521,0.36296296296296293,0.025660011963983372,0.7248366013071896,0.016444111928639357,33,90
sqrt,12.0,0.6,5.019444444444445,1.2504536213947557,0.24444444444444444,0.022222222222222227,0.7436868686868688,0.03265787160701402,22,90
sqrt,12.0,0.65,4.243757331992626,1.066432157333843,0.17777777777777778,0.02939723678960657,0.7716608010725657,0.050697292376548915,16,90
sqrt,12.0,0.7,2.983333333333333,1.1184066046538412,0.08888888888888889,0.02222222222222222,0.8583333333333334,0.15069284433354274,8,90
sqrt,15.0,0.45,9.230032753842279,0.9133817414270993,0.5629629629629629,0.03207501495497923,0.6261022927689593,0.04218156637827865,51,90
sqrt,15.0,0.5,7.545623065845512,1.990075170954744,0.49259259259259264,0.01697250257391049,0.6701519747525815,0.046250589137511997,44,90
sqrt,15.0,0.55,7.297994987468672,1.6722673905925707,0.40370370370370373,0.016972502573910513,0.6983987747145642,0.0426190116600551,36,90
sqrt,15.0,0.6,4.85679012345679,1.2797747858568165,0.30370370370370375,0.02796234976026202,0.7580246913580245,0.036539873054194476,27,90
sqrt,15.0,0.65,4.293436819172114,1.0195908495752317,0.18888888888888888,0.011111111111111113,0.7652505446623094,0.05234712024191966,17,90
sqrt,15.0,0.7,2.777777777777778,0.9041955738397828,0.11481481481481481,0.012830005981991677,0.8417508417508417,0.09965419923871204,10,90
sqrt,18.0,0.45,9.186493506493507,0.8099554281446858,0.5703703703703704,0.03571722504071469,0.6250958565244279,0.04603761182675646,51,90
sqrt,18.0,0.5,8.182391923696272,1.9151417023006316,0.5296296296296296,0.04206598774666867,0.6457388826954045,0.04670122321152867,48,90
sqrt,18.0,0.55,7.406919206184813,1.4949510310662653,0.4444444444444445,0.029397236789606575,0.6769136616137841,0.04340761375408454,40,90
sqrt,18.0,0.6,4.893918173329937,1.2565920665905912,0.35185185185185186,0.03571722504071464,0.7494270435446907,0.031680571871266536,32,90
sqrt,18.0,0.65,4.974747474747475,0.9895381737798776,0.2222222222222222,0.022222222222222213,0.7498316498316498,0.043520390844717226,20,90
sqrt,18.0,0.7,2.766666666666667,0.9125540098737387,0.11851851851851852,0.006415002990995843,0.8454545454545456,0.10244934245076948,11,90
sqrt,20.0,0.45,9.186493506493507,0.8099554281446858,0.5703703703703704,0.03571722504071469,0.6250958565244279,0.04603761182675646,51,90
sqrt,20.0,0.5,8.802087515054195,0.8730866503389719,0.5444444444444444,0.03849001794597504,0.6346848655158571,0.04807463442032727,49,90
sqrt,20.0,0.55,7.1683296378418335,1.4208817251051342,0.4666666666666666,0.01924500897298752,0.6917960088691796,0.04953061619443165,42,90
sqrt,20.0,0.6,5.222128851540616,1.1465506102693412,0.36666666666666664,0.029397236789606575,0.7181139122315594,0.02807602211185464,33,90
sqrt,20.0,0.65,4.812648221343873,1.060318064975153,0.24074074074074073,0.016972502573910517,0.7691040843214756,0.04284862696345993,22,90
sqrt,20.0,0.7,3.1550116550116556,0.4165146347572416,0.13333333333333333,0.011111111111111106,0.8047785547785549,0.04945832725575466,12,90
sqrt,25.0,0.45,9.817970853058574,1.3909801289242558,0.5925925925925926,0.04490502093697091,0.6215008420522204,0.05647342913863768,53,90
sqrt,25.0,0.5,8.959894964275017,1.167817251248909,0.5555555555555555,0.029397236789606585,0.6350195738672828,0.05133809421100332,50,90
sqrt,25.0,0.55,7.73989898989899,1.8232305744416473,0.5037037037037037,0.025660011963983372,0.6483585858585857,0.03992275695394539,45,90
sqrt,25.0,0.6,5.332181463760411,1.3263722100789803,0.3962962962962963,0.02796234976026205,0.7125642388800283,0.050537451017085074,36,90
sqrt,25.0,0.65,4.827759197324415,1.1312100308183297,0.28518518518518515,0.027962349760262045,0.7399665551839464,0.009642610865109383,26,90
sqrt,25.0,0.7,3.354293854293854,0.6783885237898472,0.16666666666666666,0.02939723678960657,0.7828652828652829,0.06848590660408982,15,90
sqrt,30.0,0.45,10.183614812129269,1.50375762963686,0.6111111111111112,0.04444444444444445,0.6025378410223873,0.05406789378375,55,90
sqrt,30.0,0.5,9.167027817416276,0.7466285491590223,0.5666666666666668,0.022222222222222254,0.6286086761748725,0.04429321219333509,51,90
sqrt,30.0,0.55,8.275925925925925,2.038308525736605,0.5259259259259259,0.04490502093697086,0.6367521367521368,0.05637787208218971,47,90
sqrt,30.0,0.6,6.366995841995842,0.5255960343458257,0.4296296296296296,0.01697250257391052,0.6902171402171402,0.03565352746439362,39,90
sqrt,30.0,0.65,4.730796801764544,1.2140615353884496,0.3222222222222222,0.029397236789606575,0.7481665288116902,0.01874235622307419,29,90
